FifaIndex,short_name,competition,club,games_played,goals,assists,minutes
13,M. Fellah,Tippeligaen,,10,2,0,710
13,M. Fellah,NM Cup,,2,1,1,145
12,M. Fellah,Tippeligaen,,25,6,12,"1,943"
12,M. Fellah,NM Cup,,3,0,0,158
11,M. Fellah,Europa League Quali,,4,0,0,338
11,M. Fellah,Tippeligaen,,24,2,6,"1,709"
10,M. Fellah,Tippeligaen,,29,4,6,"2,219"
9,M. Fellah,Europa League Quali,,2,0,0,56
9,M. Fellah,Tippeligaen,,23,2,2,959
9,M. Fellah,NM Cup,,1,0,0,105
8,M. Fellah,Tippeligaen,,2,0,0,20
7,M. Fellah,UEFA-Cup Quali,,1,0,0,50
7,M. Fellah,Tippeligaen,,7,0,0,294
6,M. Fellah,Tippeligaen,,2,1,0,15
20,C. Villaluz,Liga Expansión MX Cl.,,3,0,0,97
16,C. Villaluz,Ascenso MX Cl.,,16,1,0,624
16,C. Villaluz,Copa MX Clausura,,2,0,0,124
16,C. Villaluz,Liguilla de Expansión Apertura,,4,0,0,116
16,C. Villaluz,Ascenso MX Ap.,,14,0,1,601
16,C. Villaluz,Copa MX Apertura,,4,0,0,248
15,C. Villaluz,Ascenso MX Cl.,,15,1,4,918
15,C. Villaluz,Copa MX Clausura,,7,0,2,473
15,C. Villaluz,Ascenso MX Ap.,,15,2,3,"1,272"
15,C. Villaluz,Copa MX Apertura,,6,0,4,405
14,C. Villaluz,Copa MX Clausura,,3,0,0,122
14,C. Villaluz,Copa MX Apertura,,4,0,0,223
13,C. Villaluz,Liga MX Apertura,,4,0,0,63
13,C. Villaluz,Copa MX Apertura,,2,0,0,170
12,C. Villaluz,Liga MX Apertura,,7,0,0,192
12,C. Villaluz,Copa MX Apertura,,5,1,0,376
11,C. Villaluz,Primera Clausura,,16,1,0,863
11,C. Villaluz,Liguilla Apertura,,0,0,0,0
11,C. Villaluz,Primera Apertura,,14,1,1,628
10,C. Villaluz,Liguilla Clausura,,4,0,0,96
10,C. Villaluz,Primera Clausura,,17,1,3,"1,014"
10,C. Villaluz,CONCACAF CL,,12,2,1,721
10,C. Villaluz,Liguilla Apertura,,2,0,0,89
10,C. Villaluz,Primera Apertura,,6,2,0,241
9,C. Villaluz,Primera Clausura,,12,1,0,442
9,C. Villaluz,CONCACAF CL,,7,1,2,295
9,C. Villaluz,Liguilla Apertura,,6,1,0,349
9,C. Villaluz,Primera Apertura,,11,0,1,482
8,C. Villaluz,CONCACAF CL,,13,2,3,712
8,C. Villaluz,Primera Clausura,,15,0,4,"1,087"
8,C. Villaluz,Liguilla Apertura,,6,2,0,564
8,C. Villaluz,Primera Apertura,,16,0,4,"1,235"
7,C. Villaluz,Liguilla Clausura,,6,0,0,540
7,C. Villaluz,Primera Clausura,,11,3,0,950
7,C. Villaluz,InterLiga,,4,1,1,343
7,C. Villaluz,Liguilla Apertura,,2,0,0,146
7,C. Villaluz,Primera Apertura,,15,3,2,873
6,C. Villaluz,Liguilla Clausura,,1,0,0,45
6,C. Villaluz,Primera Clausura,,5,1,0,134
6,C. Villaluz,Primera Apertura,,2,0,0,37
17,A. Driver,Playoff promotion / relegation,,0,0,0,0
17,A. Driver,Jupiler League,,23,0,1,"1,638"
17,A. Driver,TOTO KNVB beker,,1,0,0,120
16,A. Driver,Jupiler League,,33,0,8,"2,784"
16,A. Driver,KNVB Beker,,1,0,0,120
15,A. Driver,Playoff promotion / relegation,,2,0,1,117
15,A. Driver,Eredivisie,,26,4,4,"2,037"
15,A. Driver,Beloften Eredivisie,,3,0,0,179
14,A. Driver,Premiership,,1,0,1,66
14,A. Driver,MLS,,34,0,0,"1,898"
13,A. Driver,CONCACAF CL,,2,0,0,180
13,A. Driver,MLS Cup Playoffs,,5,0,0,212
13,A. Driver,MLS,,26,3,0,"1,694"
13,A. Driver,USL Pro,,2,0,0,74
13,A. Driver,US Open Cup,,2,0,0,120
12,A. Driver,CONCACAF CL,,2,0,0,23
12,A. Driver,Premiership,,22,2,1,"1,400"
12,A. Driver,League Cup,,3,0,0,173
12,A. Driver,SFA Cup,,1,0,0,44
12,A. Driver,Europe League,,2,0,0,35
11,A. Driver,SFA Cup,,6,0,1,444
11,A. Driver,Premiership,,21,0,0,"1,280"
11,A. Driver,League Cup,,1,0,0,16
11,A. Driver,Europe League,,1,0,0,64
11,A. Driver,Europa League Quali,,1,1,0,63
10,A. Driver,Premiership,,14,0,1,466
9,A. Driver,Premiership,,12,3,0,963
9,A. Driver,League Cup,,2,0,0,180
9,A. Driver,Europa League Quali,,1,0,0,30
8,A. Driver,Premiership,,29,5,8,"2,486"
8,A. Driver,SFA Cup,,2,0,1,180
7,A. Driver,Premiership,,26,5,7,"1,931"
6,A. Driver,Premiership,,15,1,1,"1,115"
5,A. Driver,Premiership,,0,0,0,0
4,A. Driver,Premiership,,0,0,0,0
20,Marcos,Seg. Div. B - relegation round,,1,0,0,34
20,Marcos,2ª B - Group V,,2,0,0,53
19,Marcos,Baraze o udcial w ecstraclasia,,1,0,0,89
19,Marcos,1st League,,31,10,7,"2,611"
19,Marcos,Fortuna Polish Cup,,3,0,0,253
18,Marcos,Ekstraklasa,,10,2,1,717
18,Marcos,Fortuna Polish Cup,,1,0,0,13
17,Marcos,Nice 1 league,,29,8,5,"1,858"
17,Marcos,Fortuna Polish Cup,,2,0,0,170
16,Marcos,Nice 1 league,,13,2,5,665
16,Marcos,efbet league,,3,0,0,123
16,Marcos,Bulgarian Cup,,1,0,0,44
15,Marcos,Ekstraklasa,,5,0,0,219
15,Marcos,1st League,,10,3,3,665
14,Marcos,LaLiga2,,27,1,1,"1,377"
14,Marcos,Copa del Rey,,3,0,1,129
13,Marcos,LaLiga2,,28,2,1,"1,364"
13,Marcos,Copa del Rey,,1,0,0,86
12,Marcos,LaLiga2,,30,4,3,"2,073"
12,Marcos,Copa del Rey,,1,0,0,56
11,Marcos,Promotion playoff LaLiga,,0,0,0,0
11,Marcos,LaLiga2,,24,1,0,854
11,Marcos,Copa del Rey,,1,1,0,90
10,Marcos,LaLiga2,,38,2,0,"1,948"
9,Marcos,LaLiga,,19,2,0,852
9,Marcos,Copa del Rey,,2,0,0,115
8,Marcos,LaLiga2,,38,4,0,"2,732"
8,Marcos,Copa del Rey,,2,1,0,160
7,Marcos,LaLiga,,19,1,1,917
7,Marcos,Copa del Rey,,4,0,0,366
6,Marcos,LaLiga,,29,3,0,"1,781"
6,Marcos,UI Cup,,2,0,0,46
5,Marcos,Champions League,,0,0,0,0
4,Marcos,UEFA Cup,,2,0,0,42
18,T. Jaiteh,Categoria Superiore,,3,0,0,225
18,T. Jaiteh,Kupa e Shqipërisë,,0,0,0,0
17,T. Jaiteh,Stars League,,16,0,0,1255
16,T. Jaiteh,Gavia haMedina,,5,0,0,460
16,T. Jaiteh,Ligat ha'Al - Relegation round,,5,0,0,361
16,T. Jaiteh,Ligat ha'Al,,7,0,0,609
16,T. Jaiteh,Veikkausliiga,,26,1,1,1998
16,T. Jaiteh,Suomen Cup,,2,0,0,180
15,T. Jaiteh,Prva Liga,,2,0,0,101
14,T. Jaiteh,Tippeligaen,,24,0,1,"1,801"
14,T. Jaiteh,NM Cup,,1,0,0,45
13,T. Jaiteh,Adeccoligaen,,25,1,1,"2,230"
13,T. Jaiteh,NM Cup,,2,0,0,180
12,T. Jaiteh,Relegation to the elite series,,1,0,0,90
12,T. Jaiteh,Adeccoligaen,,26,2,1,"2,276"
12,T. Jaiteh,NM Cup,,5,0,2,510
10,T. Jaiteh,Superligaen,,13,0,0,975
10,T. Jaiteh,Sydbank trophies,,1,0,0,90
10,T. Jaiteh,Tippeligaen,,17,0,0,644
9,T. Jaiteh,Tippeligaen,,25,1,0,1954
8,T. Jaiteh,UEFA Cup,,1,0,0,16
8,T. Jaiteh,CL qual,,3,0,0,106
8,T. Jaiteh,Tippeligaen,,15,1,0,967
7,T. Jaiteh,UEFA Cup,,1,0,0,45
7,T. Jaiteh,UEFA-Cup Quali,,3,0,0,224
7,T. Jaiteh,Tippeligaen,,11,0,0,647
20,H. Saivet,Premier League 2,,4,0,0,348
18,H. Saivet,Super Lig,,29,2,2,"2,088"
17,H. Saivet,Super Lig,,12,0,2,674
17,H. Saivet,FA Cup,,2,0,0,99
17,H. Saivet,Premier League,,1,1,0,84
17,H. Saivet,Premier League 2,,3,0,0,270
17,H. Saivet,EFL Cup,,1,0,0,120
16,H. Saivet,Ligue 1,,27,1,2,"1,770"
16,H. Saivet,Europe League,,7,0,1,541
16,H. Saivet,Coupe de la Ligue,,1,0,0,63
15,H. Saivet,Premier League,,4,0,0,147
15,H. Saivet,U21 PL,,1,0,0,90
15,H. Saivet,Ligue 1,,18,2,0,"1,558"
15,H. Saivet,Coupe de la Ligue,,1,1,0,90
15,H. Saivet,Europe League,,5,1,0,348
15,H. Saivet,Europa League Quali,,3,0,1,270
14,H. Saivet,Ligue 1,,14,0,0,731
14,H. Saivet,Coupe de France,,1,0,0,2
14,H. Saivet,Coupe de la Ligue,,1,0,0,53
13,H. Saivet,Ligue 1,,33,6,6,"2,720"
13,H. Saivet,Coupe de France,,2,1,0,210
13,H. Saivet,Coupe de la Ligue,,2,0,0,105
13,H. Saivet,Europe League,,4,0,0,207
13,H. Saivet,Trophée des Champions,,1,1,0,90
12,H. Saivet,Coupe de France,,6,1,0,465
12,H. Saivet,Ligue 1,,34,8,1,"2,179"
12,H. Saivet,Europe League,,8,0,1,497
12,H. Saivet,Coupe de la Ligue,,1,0,0,72
11,H. Saivet,Ligue 1,,24,1,3,673
11,H. Saivet,Coupe de France,,2,1,0,157
10,H. Saivet,Ligue 2,,18,3,3,"1,541"
10,H. Saivet,Coupe de France,,2,1,0,180
10,H. Saivet,Coupe de France,,1,0,0,11
10,H. Saivet,Ligue 1,,6,0,0,205
10,H. Saivet,Coupe de la Ligue,,2,0,0,150
9,H. Saivet,Ligue 1,,3,0,0,96
9,H. Saivet,Coupe de la Ligue,,1,0,0,28
9,H. Saivet,Coupe de France,,2,0,0,31
9,H. Saivet,Champions League,,1,0,0,90
8,H. Saivet,Ligue 1,,1,0,0,5
8,H. Saivet,Coupe de la Ligue,,0,0,0,0
7,H. Saivet,Ligue 1,,1,0,0,12
21,T. Gebhart,Regionalliga Bayern,,5,0,2,450
20,T. Gebhart,Regionalliga Bayern,,2,1,0,180
20,T. Gebhart,League Cup RL Bayern,,2,0,0,180
19,T. Gebhart,3rd league,,27,3,1,"1,135"
19,T. Gebhart,Bayern Cup,,4,2,1,138
18,T. Gebhart,Berlin Cup,,2,1,1,210
18,T. Gebhart,Regionalliga northeast,,11,2,4,568
17,T. Gebhart,Regionalliga Bayern,,11,5,4,703
17,T. Gebhart,Bayern Cup,,0,0,0,0
17,T. Gebhart,DFB Cup,,1,0,0,90
16,T. Gebhart,Mecklenburg-Western Pomerania Cup,,4,2,0,345
16,T. Gebhart,3rd league,,17,4,4,"1,049"
15,T. Gebhart,League 1 - championship round,,2,0,0,134
15,T. Gebhart,Cupa României,,0,0,0,0
15,T. Gebhart,Cupa Ligii,,2,0,0,135
15,T. Gebhart,League 1,,3,0,0,55
14,T. Gebhart,Regionalliga Bayern,,2,0,0,180
14,T. Gebhart,2nd Bundesliga,,6,1,1,346
14,T. Gebhart,DFB Cup,,1,0,0,29
13,T. Gebhart,Bundesliga,,6,0,0,138
13,T. Gebhart,DFB Cup,,1,0,0,68
12,T. Gebhart,Bundesliga,,18,2,2,"1,109"
12,T. Gebhart,DFB Cup,,1,0,0,63
11,T. Gebhart,Bundesliga,,12,0,0,300
11,T. Gebhart,DFB Cup,,1,0,0,13
10,T. Gebhart,Bundesliga,,25,2,6,"1,492"
10,T. Gebhart,Europe League,,3,2,1,121
10,T. Gebhart,DFB Cup,,2,0,0,179
10,T. Gebhart,Europa League Quali,,4,2,1,359
9,T. Gebhart,Bundesliga,,28,2,2,"1,850"
9,T. Gebhart,Champions League,,6,0,2,332
9,T. Gebhart,CL qual,,2,1,0,176
9,T. Gebhart,DFB Cup,,1,0,0,90
8,T. Gebhart,Bundesliga,,11,0,0,696
8,T. Gebhart,UEFA Cup,,1,1,0,30
8,T. Gebhart,2nd Bundesliga,,16,5,3,"1,219"
8,T. Gebhart,DFB Cup,,1,0,0,120
7,T. Gebhart,Regional league south,,1,0,0,90
7,T. Gebhart,2nd Bundesliga,,21,0,2,967
7,T. Gebhart,DFB Cup,,4,0,0,297
6,T. Gebhart,Regional league south,,4,1,1,122
6,T. Gebhart,U19-Bundesliga South / Southwest,,16,6,0,"1,176"
20,M. Maïga,UAE Pro League,,14,4,2,"1,250"
18,M. Maïga,Thai League,,3,1,0,207
19,M. Maïga,AFC Champions League,,2,0,0,46
19,M. Maïga,Thailand Champions Cup,,1,1,0,90
17,M. Maïga,UAE Pro League,,19,10,2,"1,447"
16,M. Maïga,UAE Pro League,,23,9,2,"1,984"
15,M. Maïga,King's Cup,,4,2,0,287
15,M. Maïga,Professional League,,19,5,3,"1,261"
16,M. Maïga,AFC Champions League,,5,1,0,390
15,M. Maïga,Saudi Crown Prince Cup,,2,3,1,180
15,M. Maïga,Premier League,,3,1,0,24
15,M. Maïga,Europa League Quali,,4,0,1,274
14,M. Maïga,Ligue 1,,25,9,1,"1,760"
14,M. Maïga,Coupe de France,,1,0,0,120
14,M. Maïga,Coupe de la Ligue,,1,0,1,120
13,M. Maïga,Championship,,8,1,0,281
13,M. Maïga,Premier League,,14,1,2,1005
13,M. Maïga,League Cup,,4,1,1,205
13,M. Maïga,FA Cup,,1,0,0,90
12,M. Maïga,Premier League,,17,2,2,408
12,M. Maïga,U21 PL elite group,,1,0,0,90
12,M. Maïga,League Cup,,2,2,0,180
11,M. Maïga,Ligue 1,,23,9,2,"1,612"
11,M. Maïga,Coupe de France,,1,0,0,90
11,M. Maïga,Europe League,,1,0,0,90
10,M. Maïga,Ligue 1,,36,15,3,"3,043"
10,M. Maïga,Coupe de France,,2,1,0,180
10,M. Maïga,Coupe de la Ligue,,1,0,0,35
9,M. Maïga,Ligue 1,,32,7,3,"2,056"
9,M. Maïga,Coupe de France,,1,0,0,90
9,M. Maïga,Coupe de la Ligue,,2,0,0,99
8,M. Maïga,Ligue 1,,37,8,3,"2,447"
8,M. Maïga,Coupe de France,,3,0,0,330
8,M. Maïga,Coupe de la Ligue,,1,0,0,61
7,M. Maïga,Ligue 1,,19,0,0,443
7,M. Maïga,Coupe de la Ligue,,1,0,0,48
7,M. Maïga,Coupe de France,,2,0,0,135
5,M. Maïga,CAF Champions League,,3,0,0,224
4,M. Maïga,CAF Champions League,,3,0,0,133
13,M. Seelaus,ÖFB Cup,,1,0,0,90
10,M. Seelaus,Fortuna League,,1,0,0,16
9,M. Seelaus,Fortuna League,,25,1,1,"1,785"
8,M. Seelaus,First League,,8,1,0,337
8,M. Seelaus,ÖFB Cup,,1,0,0,50
7,M. Seelaus,Bundesliga,,16,0,0,636
6,M. Seelaus,ÖFB Cup,,1,0,0,20
4,M. Seelaus,Bundesliga,,2,0,0,38
4,M. Seelaus,First League,,2,0,0,36
4,M. Seelaus,ÖFB Cup,,1,0,0,45
20,J. Mikel,Championship,,39,0,1,"3,201"
20,J. Mikel,FA Cup,,1,0,0,90
20,J. Mikel,EFL Cup,,1,0,0,90
19,J. Mikel,Super Lig,,19,0,1,"1,485"
19,J. Mikel,Türkiye Kupasi,,3,0,0,187
19,J. Mikel,Europe League,,2,0,0,180
19,J. Mikel,Europa League Quali,,3,0,0,92
18,J. Mikel,Championship,,18,1,0,"1,600"
18,J. Mikel,FA Cup,,1,0,0,62
18,J. Mikel,Super League,,18,2,2,"1,620"
17,J. Mikel,Super League,,13,1,1,"1,170"
15,J. Mikel,Premier League,,25,0,1,"1,780"
15,J. Mikel,FA Cup,,2,0,0,172
15,J. Mikel,Champions League,,4,1,0,246
15,J. Mikel,League Cup,,2,0,0,210
15,J. Mikel,Community Shield,,0,0,0,0
14,J. Mikel,Premier League,,18,0,1,693
14,J. Mikel,FA Cup,,2,0,0,160
14,J. Mikel,League Cup,,4,0,0,350
14,J. Mikel,Champions League,,2,1,0,109
13,J. Mikel,Premier League,,24,1,1,"1,063"
13,J. Mikel,Champions League,,7,0,0,399
13,J. Mikel,FA Cup,,2,1,0,180
13,J. Mikel,League Cup,,2,0,0,210
13,J. Mikel,UEFA Super Cup,,1,0,0,33
12,J. Mikel,Europe League,,4,0,0,300
12,J. Mikel,Premier League,,22,0,0,"1,626"
12,J. Mikel,FA Cup,,3,0,0,194
12,J. Mikel,FIFA Club World Cup,,1,0,0,90
12,J. Mikel,Champions League,,5,0,0,348
12,J. Mikel,League Cup,,1,0,0,45
12,J. Mikel,UEFA Super Cup,,1,0,0,90
12,J. Mikel,Community Shield,,1,0,0,90
11,J. Mikel,Champions League,,9,0,0,695
11,J. Mikel,FA Cup,,5,0,0,417
11,J. Mikel,Premier League,,22,0,0,"1,322"
11,J. Mikel,League Cup,,1,0,0,56
10,J. Mikel,Premier League,,28,0,2,"2,210"
10,J. Mikel,Champions League,,6,0,0,421
10,J. Mikel,FA Cup,,2,0,0,50
10,J. Mikel,Community Shield,,1,0,0,60
9,J. Mikel,Premier League,,25,0,1,"1,743"
9,J. Mikel,FA Cup,,3,0,1,270
9,J. Mikel,Champions League,,4,0,0,360
9,J. Mikel,League Cup,,2,0,0,210
9,J. Mikel,Community Shield,,1,0,0,65
8,J. Mikel,FA Cup,,5,0,0,363
8,J. Mikel,Premier League,,34,0,2,"2,884"
8,J. Mikel,Champions League,,9,0,0,807
8,J. Mikel,League Cup,,1,0,0,75
7,J. Mikel,Champions League,,4,0,0,149
7,J. Mikel,Premier League,,29,0,0,"1,950"
7,J. Mikel,FA Cup,,2,0,0,180
7,J. Mikel,League Cup,,3,0,0,221
7,J. Mikel,Community Shield,,1,0,0,120
6,J. Mikel,FA Cup,,6,2,0,519
6,J. Mikel,Premier League,,22,0,3,946
6,J. Mikel,Champions League,,9,0,1,584
6,J. Mikel,League Cup,,4,0,0,273
6,J. Mikel,Community Shield,,1,0,0,8
5,J. Mikel,Tippeligaen,,6,1,2,508
15,C. Kleiven,NM Cup,,1,0,0,90
14,C. Kleiven,Tippeligaen,,0,0,0,0
14,C. Kleiven,NM Cup,,2,0,1,149
13,C. Kleiven,Tippeligaen,,16,0,2,523
13,C. Kleiven,NM Cup,,3,1,1,224
12,C. Kleiven,Europa League Quali,,2,1,0,180
12,C. Kleiven,Tippeligaen,,30,3,2,"2,615"
12,C. Kleiven,NM Cup,,2,1,2,180
11,C. Kleiven,Tippeligaen,,25,1,1,"1,748"
11,C. Kleiven,NM Cup,,2,0,0,93
10,C. Kleiven,Tippeligaen,,25,7,3,"2,141"
9,C. Kleiven,Tippeligaen,,22,0,0,"1,017"
8,C. Kleiven,Adeccoligaen,,28,3,1,"1,847"
7,C. Kleiven,Tippeligaen,,8,0,1,333
21,Carlos Eduardo,Copa do Brasil,,1,0,0,18
21,Carlos Eduardo,Copa Verde,,2,0,0,40
20,Carlos Eduardo,Série B,,3,1,0,72
20,Carlos Eduardo,Copa do Brasil,,1,0,0,11
18,Carlos Eduardo,Série B,,5,0,0,149
18,Carlos Eduardo,Série A,,9,0,0,455
17,Carlos Eduardo,Série A,,12,1,0,553
16,Carlos Eduardo,Série A,,10,0,2,343
16,Carlos Eduardo,Libertadores,,1,0,0,44
15,Carlos Eduardo,Europe League,,6,0,0,448
15,Carlos Eduardo,Premier League,,16,1,5,929
15,Carlos Eduardo,Europa League Quali,,3,1,0,250
14,Carlos Eduardo,Premier League,,22,3,4,"1,687"
14,Carlos Eduardo,U19 M league,,2,0,0,79
14,Carlos Eduardo,Russian Cup,,2,0,0,179
14,Carlos Eduardo,Libertadores,,2,0,0,71
13,Carlos Eduardo,Série A,,24,0,1,"1,422"
12,Carlos Eduardo,Premier League,,2,0,0,135
12,Carlos Eduardo,Europe League,,3,0,0,164
10,Carlos Eduardo,Champions League,,2,0,0,150
10,Carlos Eduardo,DFB Cup,,1,0,0,44
9,Carlos Eduardo,Premier League,,6,2,0,404
9,Carlos Eduardo,Bundesliga,,33,5,9,"2,749"
9,Carlos Eduardo,DFB Cup,,4,0,1,344
8,Carlos Eduardo,Bundesliga,,25,8,6,"2,045"
8,Carlos Eduardo,DFB Cup,,2,0,1,180
7,Carlos Eduardo,2nd Bundesliga,,22,5,4,"1,637"
7,Carlos Eduardo,DFB Cup,,3,1,1,261
7,Carlos Eduardo,Série A,,10,3,2,792
7,Carlos Eduardo,Libertadores,,14,1,0,"1,024"
20,G. dos Santos,Liguilla Clausura,,0,0,0,0
20,G. dos Santos,Liga MX Clausura,,7,1,0,276
20,G. dos Santos,CONCACAF CL,,0,0,0,0
20,G. dos Santos,Liguilla Apertura,,2,0,0,122
20,G. dos Santos,Liga MX Apertura,,9,1,0,399
19,G. dos Santos,Liga MX Clausura,,8,0,1,569
19,G. dos Santos,CONCACAF CL,,2,0,0,162
19,G. dos Santos,Liguilla Apertura,,4,1,0,239
19,G. dos Santos,Liga MX Apertura,,9,1,1,410
19,G. dos Santos,Leagues Cup,,1,0,0,33
18,G. dos Santos,MLS,,14,3,2,825
17,G. dos Santos,MLS,,25,6,3,"2,190"
17,G. dos Santos,US Open Cup,,1,0,1,90
16,G. dos Santos,MLS Cup Playoffs,,3,1,1,292
16,G. dos Santos,MLS,,28,13,4,"2,355"
16,G. dos Santos,US Open Cup,,2,1,1,62
15,G. dos Santos,CONCACAF CL,,4,1,2,300
15,G. dos Santos,MLS Cup Playoffs,,1,0,0,90
15,G. dos Santos,MLS,,10,3,5,804
14,G. dos Santos,LaLiga,,26,1,3,"1,387"
14,G. dos Santos,Europe League,,7,4,3,306
14,G. dos Santos,Copa del Rey,,7,1,1,406
13,G. dos Santos,LaLiga,,31,11,8,"2,206"
13,G. dos Santos,Copa del Rey,,3,1,0,162
12,G. dos Santos,LaLiga,,29,6,7,"2,391"
12,G. dos Santos,Copa del Rey,,3,0,0,238
11,G. dos Santos,Premier League,,7,0,0,51
11,G. dos Santos,FA Cup,,1,1,1,90
11,G. dos Santos,Europe League,,4,1,2,335
11,G. dos Santos,League Cup,,1,0,0,96
10,G. dos Santos,LaLiga,,16,5,3,957
10,G. dos Santos,Premier League,,3,0,0,69
10,G. dos Santos,Champions League,,0,0,0,0
10,G. dos Santos,League Cup,,1,0,0,45
10,G. dos Santos,CL qual,,1,0,0,90
9,G. dos Santos,Super Lig,,14,0,3,942
9,G. dos Santos,Europe League,,2,0,0,54
9,G. dos Santos,Türkiye Kupasi,,2,0,0,99
9,G. dos Santos,Premier League,,1,0,0,12
9,G. dos Santos,FA Cup,,0,0,0,0
9,G. dos Santos,League Cup,,2,0,0,106
8,G. dos Santos,Championship,,8,4,1,494
8,G. dos Santos,UEFA Cup,,4,1,0,254
8,G. dos Santos,Premier League,,6,0,0,235
8,G. dos Santos,FA Cup,,1,0,0,44
8,G. dos Santos,League Cup,,1,0,0,37
7,G. dos Santos,LaLiga,,28,3,7,"1,245"
7,G. dos Santos,Champions League,,5,1,0,134
7,G. dos Santos,Copa del Rey,,5,0,0,351
6,G. dos Santos,FIFA Club World Cup,,0,0,0,0
6,G. dos Santos,2ª B - Group III,,2,0,0,135
21,Alexandre Pato,MLS,,1,0,0,80
20,Alexandre Pato,Série A,,0,0,0,0
20,Alexandre Pato,Paulistão A1 - bevel final,,1,0,0,66
20,Alexandre Pato,Paulistão A1 - basic round,,10,3,2,704
20,Alexandre Pato,Libertadores,,2,1,0,163
19,Alexandre Pato,Série A,,20,5,0,"1,446"
18,Alexandre Pato,Super League,,23,15,3,"1,976"
18,Alexandre Pato,AFC Champions League,,10,4,1,835
18,Alexandre Pato,AFC CL qualification,,1,0,1,86
17,Alexandre Pato,Super League,,24,15,3,2115
17,Alexandre Pato,Chinese FA Cup,,2,2,0,180
16,Alexandre Pato,LaLiga,,14,2,3,883
16,Alexandre Pato,Copa del Rey,,3,1,1,187
16,Alexandre Pato,Europe League,,5,2,1,349
16,Alexandre Pato,CL qual,,2,1,0,180
15,Alexandre Pato,Premier League,,2,1,0,131
15,Alexandre Pato,Série A,,33,10,7,"2,480"
15,Alexandre Pato,Libertadores,,6,3,0,443
14,Alexandre Pato,Série A,,29,9,5,"1,959"
14,Alexandre Pato,Copa Sudamericana,,4,1,1,192
13,Alexandre Pato,Série A,,30,10,0,"1,734"
13,Alexandre Pato,Recopa Sudamericana,,1,0,0,4
13,Alexandre Pato,Libertadores,,8,2,1,360
12,Alexandre Pato,Champions League,,3,2,0,134
12,Alexandre Pato,Series A,,4,0,1,208
11,Alexandre Pato,Series A,,11,1,2,535
11,Alexandre Pato,Champions League,,5,2,1,244
11,Alexandre Pato,Coppa Italia,,1,1,0,62
11,Alexandre Pato,Supercoppa Italiana,,1,0,1,28
10,Alexandre Pato,Series A,,25,14,4,"1,598"
10,Alexandre Pato,Coppa Italia,,3,2,0,195
10,Alexandre Pato,Champions League,,5,0,0,339
9,Alexandre Pato,Series A,,23,12,1,"1,803"
9,Alexandre Pato,Champions League,,7,2,0,630
8,Alexandre Pato,Series A,,36,15,6,"2,282"
8,Alexandre Pato,UEFA Cup,,6,3,0,296
7,Alexandre Pato,Series A,,18,9,2,"1,277"
7,Alexandre Pato,Champions League,,2,0,0,167
7,Alexandre Pato,Série A,,9,5,1,731
7,Alexandre Pato,Recopa Sudamericana,,2,2,0,180
7,Alexandre Pato,Libertadores,,5,2,0,338
6,Alexandre Pato,FIFA Club World Cup,,2,1,0,126
21,E. Hazard,LaLiga,,3,0,1,137
20,E. Hazard,LaLiga,,14,3,1,532
20,E. Hazard,Champions League,,5,1,0,275
20,E. Hazard,Copa del Rey,,1,0,0,22
20,E. Hazard,Supercopa,,1,0,0,67
19,E. Hazard,Champions League,,6,0,1,459
19,E. Hazard,LaLiga,,16,1,6,"1,086"
18,E. Hazard,Europe League,,8,2,2,451
18,E. Hazard,Premier League,,37,16,15,"2,926"
18,E. Hazard,EFL Cup,,5,3,0,363
18,E. Hazard,FA Cup,,2,0,0,138
17,E. Hazard,FA Cup,,5,1,2,393
17,E. Hazard,Premier League,,34,12,4,"2,433"
17,E. Hazard,Champions League,,8,3,4,611
17,E. Hazard,EFL Cup,,4,1,3,293
17,E. Hazard,Premier League 2,,1,0,0,74
16,E. Hazard,FA Cup,,4,1,1,295
16,E. Hazard,Premier League,,36,16,5,"3,005"
16,E. Hazard,EFL Cup,,3,0,1,73
15,E. Hazard,Premier League,,31,4,4,"2,190"
15,E. Hazard,Champions League,,8,0,1,525
15,E. Hazard,FA Cup,,2,2,3,154
15,E. Hazard,League Cup,,1,0,0,120
15,E. Hazard,Community Shield,,1,0,0,90
14,E. Hazard,Premier League,,38,14,10,"3,379"
14,E. Hazard,Champions League,,7,3,3,654
14,E. Hazard,League Cup,,6,2,0,394
14,E. Hazard,FA Cup,,1,0,0,14
13,E. Hazard,Premier League,,35,14,9,"2,897"
13,E. Hazard,Champions League,,9,2,0,681
13,E. Hazard,FA Cup,,3,0,1,215
13,E. Hazard,League Cup,,1,0,0,37
13,E. Hazard,UEFA Super Cup,,1,1,0,113
12,E. Hazard,Premier League,,34,9,14,"2,638"
12,E. Hazard,Europe League,,7,1,2,448
12,E. Hazard,FA Cup,,6,1,2,365
12,E. Hazard,League Cup,,5,2,2,277
12,E. Hazard,FIFA Club World Cup,,2,0,1,177
12,E. Hazard,Champions League,,6,0,3,457
12,E. Hazard,UEFA Super Cup,,1,0,0,90
12,E. Hazard,Community Shield,,1,0,0,71
11,E. Hazard,Ligue 1,,38,20,18,"3,212"
11,E. Hazard,Coupe de France,,3,1,0,270
11,E. Hazard,Coupe de la Ligue,,1,0,1,90
11,E. Hazard,Champions League,,6,0,2,540
11,E. Hazard,Trophée des Champions,,1,1,1,81
